งวดวันที่,รางวัลที่ 1,เลขหน้า 3ตัว,เลขท้าย 3 ตัว,เลขท้าย 2 ตัว
16 กันยายน 2560,170143,172 647,340 388,71
1 กันยายน 2560,143224,345 679,195 278,65
16 สิงหาคม 2560,715431,115 302,945 253,37
1 สิงหาคม 2560,756519,061 386,787 989,36
16 กรกฎาคม 2560,820327,584 835,823 390,87
1 กรกฎาคม 2560,112360,489 226,688 005,26
16 มิถุนายน 2560,943142,878 626,373 740,47
1 มิถุนายน 2560,53630,121 218,581 881,61
16 พฤษภาคม 2560,454891,008 396,603 490,53
2 พฤษภาคม 2560,8656,573 949,923 773,35
16 เมษายน 2560,816729,973 766,241 807,40
1 เมษายน 2560,392785,020 057,500 709,80
16 มีนาคม 2560,273863,918 324,941 694,92
1 มีนาคม 2560,978453,560 450,577 052,78
16 กุมภาพันธ์ 2560,229116,464 128,375 953,14
1 กุมภาพันธ์ 2560,54672,066 807,628 426,42
17 มกราคม 2560,145157,511 663,836 516,25
30 ธันวาคม 2559,377712,890 304,769 477,46
16 ธันวาคม 2559,435286,596 366,716 199,35
1 ธันวาคม 2559,86069,513 873,148 450,77
16 พฤศจิกายน 2559,858383,682 040,558 570,44
1 พฤศจิกายน 2559,785438,976 824,038 752,86
16 ตุลาคม 2559,571947,885 692,587 032,98
1 ตุลาคม 2559,887102,280 194,017 458,33
16 กันยายน 2559,240650,493 583,160 043,42
1 กันยายน 2559,638684,335 334,669 630,62
16 สิงหาคม 2559,254004,366 966,596 631,33
1 สิงหาคม 2559,272932,538 983,472 871,57
16 กรกฎาคม 2559,449764,552 734,925 158,55
1 กรกฎาคม 2559,82460,609 169,173 302,53
16 มิถุนายน 2559,73816,804 251,321 749,79
1 มิถุนายน 2559,511825,111 775,937 880,14
16 พฤษภาคม 2559,141737,382 975,087 268,98
2 พฤษภาคม 2559,399459,403 238,671 046,2
16 เมษายน 2559,221609,228 008,523 507,87
1 เมษายน 2559,66720,390 546,285 852,92
16 มีนาคม 2559,134918,877 855,973 004,32
1 มีนาคม 2559,439686,530 426,743 155,6
16 กุมภาพันธ์ 2559,356364,699 312,309 535,98
1 กุมภาพันธ์ 2559,927800,999 625,054 076,9
17 มกราคม 2559,304371,532 031,786 743,50
30 ธันวาคม 2558,8217,264 246,895 596,2
17 ธันวาคม 2558,930255,140 250,094 638,8
1 ธันวาคม 2558,915350,181 238,175 714,78
16 พฤศจิกายน 2558,795283,241 028,643 802,3
1 พฤศจิกายน 2558,361211,757 106,166 473,45
16 ตุลาคม 2558,968630,134 457,412 054,62
1 ตุลาคม 2558,594825,918 175,440 799,7
16 กันยายน 2558,743148,435 209,084 375,6
1 กันยายน 2558,21094,260 403,819 068,89
16 สิงหาคม 2558,33363,- -,"781 648
624 227",40
1 สิงหาคม 2558,518677,- -,"648 889
333 598",53
16 กรกฎาคม 2558,121507,- -,"830 761
461 294",49
1 กรกฎาคม 2558,759049,- -,"565 814
081 567",26
16 มิถุนายน 2558,644742,- -,"532 429
386 253",5
2 มิถุนายน 2558,388881,- -,"700 876
314 969",65
16 พฤษภาคม 2558,11421,- -,"851 928
799 484",38
2 พฤษภาคม 2558,543466,- -,"195 818
163 366",30
16 เมษายน 2558,506260,- -,"101 495
164 973",38
1 เมษายน 2558,605704,- -,"962 557
558 861",70
16 มีนาคม 2558,48151,- -,"757 623
622 339",92
1 มีนาคม 2558,240237,- -,"857 008
498 031",34
16 กุมภาพันธ์ 2558,1864,- -,"825 843
392 103",90
1 กุมภาพันธ์ 2558,155537,- -,"813 083
286 008",79
16 มกราคม 2558,244351,- -,"398 595
068 877",74
